"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"ABCB4" 2.40474142898755e-29 0.683358121860904 0.133 0.035 4.68948626066862e-25 "1" "ABCB4"
"NPC2" 3.07203091495871e-29 0.261431579709047 0.572 0.47 5.99076748726097e-25 "1" "NPC2"
"GNA15" 4.33426806756647e-29 0.631781795093489 0.155 0.052 8.45225615856137e-25 "1" "GNA15"
"PSAP" 5.89047029501823e-29 0.359575600143479 0.558 0.495 1.14870061223151e-24 "1" "PSAP"
"CD68" 7.08621293424106e-29 0.446314852961866 0.328 0.185 1.38188238430635e-24 "1" "CD68"
"TXNIP" 1.67346578121726e-28 0.609890317408454 0.181 0.074 3.26342561995178e-24 "1" "TXNIP"
"CEBPZ" 2.35244130050744e-28 0.592017600830778 0.314 0.204 4.58749578011957e-24 "1" "CEBPZ"
"KLF6" 2.53990398160585e-28 0.526737692285858 0.386 0.3 4.95306675452956e-24 "1" "KLF6"
"CCNL1" 4.48609392130094e-28 0.479914172083335 0.427 0.338 8.74833175592897e-24 "1" "CCNL1"
"TLN1" 7.17771380220351e-28 0.521475551208969 0.431 0.34 1.39972596856771e-23 "1" "TLN1"
"BTG1" 9.3431138292159e-28 0.61119536958526 0.342 0.211 1.82200062783539e-23 "1" "BTG1"
"MLEC" 9.45499091122113e-28 0.593078362064582 0.309 0.203 1.84381777759723e-23 "1" "MLEC"
"FRMD4B" 1.22270425976795e-27 0.737638227129367 0.167 0.071 2.38439557697347e-23 "1" "FRMD4B"
"ARHGAP25" 1.3854780229033e-27 0.680082630056705 0.192 0.083 2.70182069246372e-23 "1" "ARHGAP25"
"PPCDC" 1.72961399339729e-27 0.70400472077535 0.219 0.106 3.37292024852405e-23 "1" "PPCDC"
"CD180" 2.27160154385498e-27 0.538469719411835 0.23 0.107 4.4298501706716e-23 "1" "CD180"
"FAM111A" 3.10420128147689e-27 0.681975254952463 0.298 0.196 6.05350291900808e-23 "1" "FAM111A"
"PRPF38B" 3.92170497582943e-27 0.486269245669505 0.57 0.511 7.64771687336497e-23 "1" "PRPF38B"
"PYCARD" 4.37439000137088e-27 0.487069600159388 0.283 0.169 8.53049794167336e-23 "1" "PYCARD"
"EFHD2" 1.42235483610537e-26 0.477752290779438 0.309 0.195 2.77373416588909e-22 "1" "EFHD2"
"LRRC3" 2.15688763366801e-26 0.565471530684387 0.142 0.047 4.20614657441599e-22 "1" "LRRC3"
"FUS" 2.32983317395473e-26 0.411946641076201 0.567 0.532 4.54340767252912e-22 "1" "FUS"
"USP8" 2.3625087225325e-26 0.651196967621787 0.353 0.245 4.60712825981064e-22 "1" "USP8"
"PAG1" 3.0891399671717e-26 0.57380014510603 0.185 0.078 6.02413184998153e-22 "1" "PAG1"
"ANKRD44" 3.8096046484334e-26 0.663004869762093 0.142 0.048 7.42911002490997e-22 "1" "ANKRD44"
"BTK" 3.96704031688207e-26 0.671967272598131 0.162 0.06 7.73612532195173e-22 "1" "BTK"
"SCOC" 4.05892809992617e-26 0.647595093773408 0.233 0.139 7.91531568766602e-22 "1" "SCOC"
"ZFP710" 5.18443682322568e-26 0.561309653606647 0.144 0.053 1.01101702489724e-21 "1" "ZFP710"
"MYCBP2" 7.72203550359466e-26 0.641327323220907 0.434 0.331 1.505874143556e-21 "1" "MYCBP2"
"CTTNBP2NL" 8.39370497028092e-26 0.646176052435874 0.279 0.177 1.63685640625448e-21 "1" "CTTNBP2NL"
"NCF2" 1.03829462368586e-25 0.55845914244116 0.227 0.117 2.0247783456498e-21 "1" "NCF2"
"FES" 1.11797775583796e-25 0.613501646942767 0.143 0.054 2.1801684216596e-21 "1" "FES"
"LPIN2" 1.33268707249546e-25 0.600276975250141 0.277 0.167 2.59887306007339e-21 "1" "LPIN2"
"RBM25" 1.43183461131176e-25 0.342902657892828 0.693 0.7 2.79222067551906e-21 "1" "RBM25"
"DDX5" 1.47154362179535e-25 0.309749492108437 0.674 0.706 2.86965721686311e-21 "1" "DDX5"
"RPS6KA1" 1.97700284759816e-25 0.605212116369024 0.173 0.076 3.85535325310117e-21 "1" "RPS6KA1"
"LY6E" 2.0036684095753e-25 0.194395369149667 0.52 0.408 3.9073537655128e-21 "1" "LY6E"
"TM6SF1" 4.49264775428703e-25 0.5767129654941 0.189 0.085 8.76111238563514e-21 "1" "TM6SF1"
"USP2" 4.96233571444765e-25 0.552882445313046 0.206 0.103 9.67705087674437e-21 "1" "USP2"
"TAB2" 1.13651278951203e-24 0.563399119495628 0.327 0.22 2.21631359082741e-20 "1" "TAB2"
